"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","newinc_pulm_labconf_rdx","newinc_pulm_clindx_rdx","newinc_ep_rdx","nrr","nrr_tx","conf_rr_nfqr","conf_rr_nfqr_tx","unconf_rr_nfqr_tx","rr_nfqr_014_tx","conf_rr_fqr","conf_rr_fqr_tx","nrr_hpmz_used","nrr_hpmz_tx","nrr_2hrze2hr_used","nrr_2hrze2hr_tx","mdrxdr_bpalm_used","mdrxdr_bpalm_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","rr_dst_rlt_bdq","rr_bdqr","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","vr_data_available","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Mauritania","MR",2023,1228,488,664,46,8,6,5,,2380,2440,65,2445,1228,51,0,35,1,222,,,,,63,,,297,370,256,199,216,223,1561,6,,,,,58,,,189,171,119,93,98,82,752,0,121,0,,,,,2409,2409,36,36,0,0,1,1,0,,0,,0,,1,1,1,35,36,0,51,0,36,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1947,49,34,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Mauritius","MU",2023,99,0,4,0,0,0,0,,103,103,0,103,99,0,0,10,1,220,0,0,1,,,2,3,,12,15,17,20,9,78,0,0,0,0,,,3,2,,6,6,1,3,3,24,0,1,60,103,,,,103,103,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,99,0,0,0,,,99,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,103,17,17,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Mexico","MX",2023,15953,4709,4863,1111,253,141,1271,,25525,27030,2776,28301,15872,2382,81,9,1,220,151,81,146,,,740,1401,,3116,3066,3277,2640,2556,16796,0,129,73,189,,,588,823,,1572,1501,1802,1577,1602,9465,0,769,60,6941,,,,27857,26367,444,327,0,8,16,13,0,,0,,0,,1,340,0,,340,6578,1624,256,177,,,482,261,201,111,251,165,90,47,427,14,1,0,0,0,13,0,0,0,0,14,1,1,21365,2434,1606,1,352,16,,,,,,,,,,,0,,,,,,,,,0,,,
"Micronesia (Federated States of)","FM",2023,26,181,4,0,0,0,0,,211,211,0,211,26,0,0,3,1,220,9,15,13,,,9,3,,11,12,14,19,17,85,0,9,17,8,,,4,3,,9,20,8,11,8,63,0,71,60,165,,,,207,207,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,208,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,,
"Monaco","MC",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mongolia","MN",2023,1499,315,699,330,74,81,183,,2513,2998,668,3181,1499,491,0,0,1,221,21,,,68,,,,217,330,391,344,311,147,1740,,18,,,60,,,,214,293,203,139,116,126,1091,,167,60,2691,,,,3008,2983,154,145,11,2,162,153,0,,0,,1,5,1,33,1,95,10,1462,446,72,44,314,31,1462,446,84,49,72,44,8,19,95,8,0,0,0,0,7,0,0,0,1,0,0,1,2761,3,3,,,,,3,1,23,0,262,0,23,0,0,0,,,,,,,,,1,17533,135,222
"Montenegro","ME",2023,46,8,1,6,1,0,0,0,55,62,7,62,46,6,0,7,1,221,0,,,0,,,,2,3,5,8,9,13,40,0,0,,,0,,,,1,3,2,4,3,9,22,0,0,60,62,,,,62,62,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,46,6,0,0,,,46,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,2,2,,,,,,,,,,,,,,0,,,,,,,,,1,1,,
"Montserrat","MS",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morocco","MA",2023,14746,1687,14578,995,79,344,1065,,31011,32429,2483,33494,14667,2060,79,89,1,221,253,,,891,,,,3709,5112,3488,2205,1970,2027,18511,,241,,,972,,,,2889,2642,1829,1439,1335,1427,11561,,2357,60,13192,,,,33246,33246,231,231,2,1,17,17,0,,1,,0,,1,114,1,46,,6875,1206,85,157,,,96,201,65,151,85,157,54,107,179,17,,,,,,,,,17,,,1,19483,330,310,,,,,285,,,,,,,,,0,,,,,,,,,0,,,
"Mozambique","MZ",2023,51804,57689,2925,1473,2265,161,500,,112418,116317,4399,116817,51791,1492,13,,1,223,1849,,,4861,,,,,,,,,,53867,,1705,,,4654,,,,,,,,,,49381,,13069,60,93641,,,,114849,114646,1482,1394,203,144,28,21,0,,0,,0,,1,1618,0,,1618,44022,1268,1362,120,1252,,606,339,182,138,174,108,104,79,248,28,1,3,0,7,7,0,1,0,9,22,11,0,116763,26919,26336,1,10490,1276,1227,26336,7151,288300,,,287581,288300,306278,342337,0,,,,,,,,,0,,,
"Myanmar","MM",2023,46865,57768,10138,6523,7188,640,1720,,114771,129122,16071,130842,46863,7903,2,14,1,221,5917,,,6887,,,,6768,11517,13867,12619,11219,11350,67340,2,4715,,,5394,,,,6746,7144,6105,6025,6078,6768,38866,1,22913,60,65730,,,,128211,128211,2338,2170,64,22,299,278,0,,0,,1,256,1,1385,1,777,1412,40193,7201,1374,1257,5918,770,2432,2895,941,1147,1024,1241,688,846,2627,293,0,0,0,1,34,0,0,0,258,35,1,1,117370,7767,6074,1,19517,391,275,6074,2985,25261,24597,216757,5569,25261,18917,20042,1,,,,,,,,,0,,,
"Namibia","NA",2023,5210,1369,1112,1081,348,130,261,,7691,9250,1820,9511,5210,1292,0,758,,220,276,116,63,,,199,428,,1329,1289,902,571,410,5128,,271,101,105,,,228,314,,781,742,523,297,305,3190,,932,62,,6170,1166,475,9214,9200,294,279,14,25,3,3,0,,0,,1,19,1,120,1,157,296,5108,1252,197,88,,,,,,,,,,,101,3,1,,,,1,,,,1,2,1,1,9149,2962,2934,1,914,80,79,2934,616,8996,7841,208872,6552,8996,176915,178354,0,,,,,,,,,0,,,
"Nauru","NR",2023,12,0,6,0,0,0,0,,18,18,0,18,12,0,0,0,,220,2,0,0,,,0,0,,2,1,2,0,0,5,,0,0,1,,,0,1,,2,0,5,0,2,10,,3,0,,,,,18,18,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,14,0,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Nepal","NP",2023,19031,5418,9910,2002,226,294,566,,34359,36881,3088,37447,18998,2427,33,,,221,866,,,704,,,,3153,3169,3092,3165,3558,5211,21348,0,742,,,671,,,,2683,2247,1654,1584,1705,2677,12550,0,2983,60,19294,,,,36604,36604,693,454,,10,150,92,0,,0,,0,,1,281,0,,,15198,1893,604,89,1468,68,419,493,35,43,19,14,19,13,401,142,,,,,,,,,,,,0,33176,208,205,,,,,207,174,2416,,,5,2416,618,1009,0,,,,,,,,,0,,,
"Netherlands (Kingdom of the)","NL",2023,397,73,240,0,0,0,0,0,710,710,0,710,0,0,397,578,1,220,4,2,1,,,77,37,,101,73,52,39,60,439,1,5,2,7,,,20,21,,64,50,37,27,29,248,1,21,62,,345,0,119,696,0,9,0,0,0,5,0,3,,3,,3,,3,,3,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,18,,
"New Caledonia","NC",2023,16,4,12,0,0,0,0,,32,32,0,32,16,0,0,0,1,220,0,0,0,,,0,0,,1,4,1,3,8,17,0,1,0,0,,,1,0,,5,2,2,1,3,14,0,1,60,10,,,,32,32,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,13,,0,,,,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"New Zealand","NZ",2023,147,7,139,3,0,1,6,,293,297,10,303,146,3,1,269,1,220,0,2,4,,,4,14,,34,31,12,15,32,142,0,3,3,2,,,8,11,,34,21,24,18,25,141,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,292,1,,,,,,,,,,,,,,,0,,,,,,,,,1,,,
"Nicaragua","NI",2023,1536,282,195,90,14,5,82,,2013,2122,191,2204,1536,172,0,0,1,222,,,,,47,,,202,340,311,207,135,124,1319,0,,,,,29,,,139,136,128,123,94,107,727,0,76,60,750,,,,2072,2072,50,25,0,0,2,2,0,,0,,1,3,1,14,1,8,25,663,87,36,14,,,663,87,20,4,36,14,20,4,27,2,0,0,0,0,2,0,0,0,0,2,0,1,2102,138,138,1,76,2,2,143,147,1116,,,712,1116,713,934,0,,,,,,,,,1,98,98,16
"Niger","NE",2023,12295,1013,1685,473,,,284,,14993,15466,757,15750,12295,757,,,1,221,178,,,212,,,,1628,3021,2356,1580,1224,1118,10927,,138,,,184,,,,663,921,734,607,482,420,3827,,712,60,3918,,,,15599,15599,151,127,0,2,8,8,0,,0,,0,,0,,1,119,8,3981,658,106,45,,,12,9,8,7,12,9,8,7,127,8,,,,,8,,,,,8,0,0,12661,328,281,,,,,287,,,,,1758,2811,,,0,,,,,,,,,0,,,
"Nigeria","NG",2023,296338,62149,3147,4210,1362,44,3769,,361634,367250,9385,371019,296183,6649,155,,1,221,4728,,,14773,,,,27316,43905,46526,35598,22089,15029,190463,0,4235,,,12343,,,,24676,35308,32513,23232,14432,10338,140499,0,36079,60,266939,,,,367519,367519,3585,2992,0,94,57,55,0,,0,,1,601,1,42,1,2404,3047,248920,6444,3500,,4023,,248863,,313,,3500,,228,,3272,28,,,,,,,,,,,,1,356817,17628,16467,0,,,,,,,,,151099,204808,,,0,,,,,,,,,0,,,
"Niue","NU",2023,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,5,,,,,0,0,0,0,0,0,0,0,,,0,,,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"North Macedonia","MK",2023,101,22,22,9,1,2,3,3,145,157,15,160,101,12,,4,1,221,8,,,4,,,,9,20,11,9,23,25,97,,5,,,4,,,,5,7,6,6,2,13,39,,21,60,90,,,,158,158,2,2,0,0,0,0,0,,0,,0,,0,,0,,0,75,8,2,0,,,75,8,0,1,2,0,0,0,0,,,,,,,,,,,,,1,36,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Northern Mariana Islands","MP",2023,16,3,2,1,0,0,0,,21,22,1,22,16,1,,13,1,220,,,,,,,,,2,3,2,5,2,14,,,,,,,,,,1,1,1,4,1,8,,,62,,17,3,2,22,22,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,16,1,0,0,,,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,,,,,,,,,,,,,,0,,,,,,,,,1,235,5,3
"Norway","NO",2023,94,9,33,,,,17,0,136,136,17,153,94,14,0,134,1,220,2,1,1,,,8,5,,14,17,11,12,4,71,0,3,0,0,,,3,3,,22,14,8,5,3,58,0,7,62,,90,8,25,137,129,12,12,0,0,4,4,,,,,,,,,,,,91,14,13,3,,,90,10,25,2,13,3,13,2,14,4,0,0,0,0,4,0,0,0,0,13,0,1,124,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"occupied Palestinian territory, including east Jerusalem","PS",2023,12,0,3,0,0,0,1,,15,15,1,16,12,1,0,0,0,221,0,,,0,,,,1,0,1,2,2,4,10,1,1,,,0,,,,0,0,1,1,0,1,3,0,1,0,,,,,16,16,,,,,,,0,,1,16,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,0,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Oman","OM",2023,439,12,32,5,0,1,1,,483,489,7,490,421,6,18,391,1,221,1,,,2,,,,41,106,106,69,24,19,365,0,0,,,0,,,,15,37,32,13,9,15,121,0,3,60,485,,,,486,477,2,1,0,0,2,2,0,,0,,0,,1,3,0,,3,334,6,4,0,,,333,3,25,0,4,0,3,0,4,2,0,0,0,0,0,0,0,0,2,0,0,1,483,7,6,,,,,6,6,221,,,,,,,0,,,,,,,,,0,,,
"Pakistan","PK",2023,184918,188536,87453,10499,3454,901,4375,,460907,475761,19229,480136,184598,13128,320,1208,1,221,15956,,,17782,,,,39072,35182,34417,35935,34332,34781,213719,0,12314,,,21088,,,,45529,36989,32708,29809,26160,23707,194902,0,67140,60,228757,,,,475535,475535,3619,2588,25,136,982,977,0,,0,,1,425,1,2116,1,768,3590,147660,10763,4088,513,8317,332,4333,741,1979,416,2032,492,1704,360,3359,982,4,1,0,29,309,0,0,1,638,454,14,1,300435,1164,714,,,,,712,775,12731,,,,,,,0,,,,,,,,,0,,,
"Palau","PW",2023,13,2,0,0,0,0,0,,15,15,0,15,13,0,0,4,1,221,1,,,0,,,,0,0,2,0,1,2,5,0,0,,,0,,,,2,1,2,2,1,1,9,0,1,62,,13,2,0,15,15,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,13,0,0,0,,,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Panama","PA",2023,1239,463,233,88,41,13,147,,1935,2077,289,2224,,,,,1,221,80,,,40,,,,187,311,240,186,156,151,1231,,55,,,40,,,,109,133,108,100,91,90,631,,215,60,998,,,,2145,,56,,,,4,,0,,0,,1,10,1,69,0,,79,700,51,49,8,,,700,51,23,2,49,8,8,2,32,1,,,,,,,,,,0,0,1,2025,345,338,1,215,6,6,331,151,1988,482,20225,497,1988,,,0,,,,,,,,,1,,,
"Papua New Guinea","PG",2023,9149,11993,17904,603,612,608,1892,,39046,40869,3715,42761,9140,1089,9,,1,221,2236,,,2730,,,,4350,4332,2968,2292,1645,799,16386,2,1862,,,2596,,,,4141,4041,2788,1983,1317,451,14721,5,9424,62,,9752,3815,1535,42254,,507,352,,26,4,4,0,,0,,0,,1,185,0,,,9140,1089,451,56,23,,451,56,451,56,451,56,451,56,,4,,,,,,,,,,,,0,26824,1499,1307,,,,,3759,669,6095,,,1154,6095,5217,7511,0,,,,,,,,,0,,,
"Paraguay","PY",2023,2242,689,312,414,49,13,388,,3243,3719,864,4107,2242,716,0,60,1,220,28,19,28,,,120,385,,836,451,364,263,282,2701,0,21,16,18,,,83,107,,208,149,109,99,133,888,0,130,60,2521,,,,4077,3809,27,26,3,3,0,0,0,,0,,0,,1,29,0,,29,1917,625,10,13,,,1917,624,2,9,10,13,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,3266,291,239,1,88,2,0,239,70,1837,228,12754,113,1837,21,21,0,,,,,,,,,1,34639,13897,95
"Peru","PE",2023,19604,3817,5032,2542,499,192,1427,,28453,31686,4660,33113,19604,3712,0,488,1,220,175,126,378,,,1596,2365,,5058,3021,2406,2234,2959,19639,0,154,136,391,,,1006,1231,,2357,1657,1331,1219,1886,10687,0,1360,62,,8545,0,1190,30871,30213,2059,2035,230,85,183,177,0,,0,,0,,1,165,1,94,2442,16643,3313,1416,758,2220,337,15898,3156,1799,729,1304,690,859,524,1528,180,0,0,0,2,96,2,0,1,79,306,2,1,29745,1788,1010,1,1215,19,6,1008,1707,10928,3958,86915,3396,10928,3244,3958,0,,,,,,,,,0,,,
"Philippines","PH",2023,225715,269994,8998,25273,45197,593,9961,,504707,575770,81024,585731,225715,30429,0,88,1,220,11793,11163,5661,,,15519,26451,,52612,55030,63180,62988,61395,337175,47,9400,9430,4436,,,10155,15965,,29359,27751,30612,32601,40189,186632,33,51883,62,,215532,152299,5445,576979,449560,8722,7518,377,81,30,30,0,,0,,1,46,1,2352,1,4660,7895,186133,27608,4334,4313,22994,3083,387,523,249,418,370,505,237,405,1020,30,,,,,,,,,,,,1,356347,2581,2581,1,3416,12,12,6197,2550,13013,11700,72765,8179,13013,,,0,,,,,,,,,1,593827,,20472
"Poland","PL",2023,3227,527,167,183,38,2,292,43,3921,4144,515,4436,3227,430,0,350,1,220,7,6,8,,,31,60,,282,552,695,701,696,3017,0,7,8,15,,,31,44,,117,164,157,177,386,1076,0,51,62,,1828,0,58,4334,0,76,0,0,0,26,0,,,,,,,,,,,,2775,357,79,22,,,2765,354,182,38,79,22,76,22,91,26,0,0,1,2,20,0,0,0,3,87,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,472,,
"Portugal","PT",2023,867,161,430,29,4,10,64,7,1458,1501,107,1565,867,70,0,567,1,220,12,4,8,,,17,76,,164,139,197,178,232,1003,0,11,2,7,,,12,32,,77,81,66,69,116,453,1,44,62,,442,17,129,1552,1551,10,10,0,1,3,3,0,,0,,1,6,1,14,1,1,21,421,31,10,2,,,421,31,33,6,10,2,10,2,3,3,0,0,0,0,0,2,0,0,1,0,0,1,1068,101,,,,,,,,,,,,,,,0,,,,,,,,,1,,,53
"Puerto Rico","PR",2023,15,1,4,0,0,0,1,,20,20,1,21,15,1,0,6,1,220,0,0,0,,,0,0,,3,1,3,1,7,15,0,0,0,0,,,0,0,,1,0,0,1,3,5,0,0,60,9,,,,20,20,1,1,0,0,0,1,0,,0,,0,,0,,1,0,1,14,1,0,1,,,14,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,0,,,
"Qatar","QA",2023,388,29,494,0,0,0,0,,911,911,0,911,388,0,0,888,1,221,3,,,2,,,,73,272,204,86,31,11,677,0,1,,,2,,,,29,106,63,22,2,4,226,0,8,60,882,,,,904,904,0,0,0,0,7,7,3,,3,,1,2,0,,0,,7,388,0,7,0,,,388,0,7,0,7,0,7,0,7,7,,,,,,,,,,,,1,911,5,5,,,,,6,6,88,,,,,,,0,,,,,,,,,0,,,
"Republic of Korea","KR",2023,10769,1827,3597,1490,329,349,1179,,16193,18361,3347,19540,10366,2007,403,1107,1,220,0,3,7,,,49,121,,521,714,1322,2421,6145,11293,0,1,0,8,,,45,113,,436,484,624,836,4511,7049,0,19,62,,8332,1207,1539,18989,18971,479,475,0,0,72,72,0,,3,,1,,1,,3,,,10366,2007,274,201,,,10338,2007,754,260,246,201,141,143,475,69,0,1,0,0,68,0,0,0,0,69,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,
"Republic of Moldova","MD",2023,1122,414,196,311,107,14,204,35,1732,2164,636,2368,1122,515,0,18,1,220,22,26,37,,,34,27,,209,436,409,292,138,1545,0,21,25,22,,,18,19,,95,122,66,64,82,466,0,153,62,,1393,446,190,1868,1764,392,357,56,19,107,104,0,,0,,0,,1,346,1,171,517,1112,472,270,208,311,123,937,339,292,185,233,167,229,166,432,96,10,9,0,5,59,10,0,3,0,409,15,1,2091,264,243,,,,,243,146,888,289,8509,289,888,191,192,0,,,,,,,,,1,33820,33820,186
"Romania","RO",2023,5882,670,1167,1255,99,49,384,28,7719,9122,1787,9506,5882,1605,0,64,1,220,114,58,69,,,183,256,,629,1102,1850,1237,980,6237,0,74,61,50,,,156,184,,377,379,445,316,602,2459,0,426,62,,4060,193,370,9274,9115,211,208,0,0,21,21,,,,,,,,,,,,4590,1206,112,113,,,4477,1181,199,143,110,112,72,95,77,21,0,0,2,0,3,1,0,0,15,10,0,1,7825,178,137,,,,,,,,,,,,,,0,,,,,,,,,1,243392,,703
"Russian Federation","RU",2023,22501,17381,3440,6284,4530,507,16798,16798,43322,54643,28119,71441,22501,14999,0,1381,,221,283,,,536,,,,1474,4851,12790,9936,5658,2923,37632,195,275,,,620,,,,1131,2576,4593,2801,1657,2291,15049,53,1714,60,48009,,,,44507,43651,18080,16358,5016,503,7770,5395,0,,0,,0,,,,1,573,,21042,14653,7350,9528,5691,3304,21042,14653,9203,10429,7350,9528,6953,9086,15934,5496,65,50,35,232,2977,339,12,66,1720,3402,309,1,52872,13411,10519,1,1559,18,18,,,,,,,,,,0,,,,,,,,,1,1764618,61523,5055
"Rwanda","RW",2023,5964,1196,1515,515,86,59,208,,8675,9335,868,9543,5959,704,5,0,1,220,234,46,36,,,193,818,,1871,1880,893,690,563,6908,0,247,37,41,,,92,198,,437,366,277,209,207,1786,0,641,62,,5744,539,640,9394,9304,92,90,0,1,0,0,0,,0,,0,,1,2,1,88,90,5708,662,69,23,,,,,,,,,,,,,,,,,,,,,,,,1,9328,1151,1061,,,,,1061,280,11168,,,,,196245,201177,0,,,,,,,,,1,32853,22535,565
"Saint Kitts and Nevis","KN",2023,0,0,1,0,0,0,0,,1,1,0,1,0,0,0,1,0,220,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,60,1,,,,1,1,0,0,0,0,0,0,0,,1,1,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,0,,,
"Saint Lucia","LC",2023,2,0,0,0,0,0,0,,2,2,0,2,2,0,0,0,1,221,0,,,0,,,,0,0,0,0,0,2,2,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,60,2,,,,2,2,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,,0,42,,,,,,,0,,,,,,,,,0,,,
"Saint Vincent and the Grenadines","VC",2023,2,2,0,0,0,0,0,,4,4,0,4,2,0,0,0,,220,0,0,0,,,0,0,,1,0,0,,,1,,0,0,0,,,1,0,,0,1,1,,,3,,0,60,2,,,,2,2,0,0,0,0,0,0,0,,1,0,0,,0,,0,,0,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,,,,,,,,,,0,,,,,,,,,1,2,2,2
"Samoa","WS",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,0,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"San Marino","SM",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sao Tome and Principe","ST",2023,55,20,28,2,0,0,0,,103,105,2,105,55,2,0,0,1,220,1,4,1,,,4,7,,11,12,8,2,4,48,,0,1,3,,,2,5,,4,6,18,5,7,47,,10,62,,57,20,4,103,103,1,1,0,0,0,0,0,,0,,0,,0,,1,1,1,1,2,1,0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,15,15,,,,,,,,,,,,,,0,,,,,,,,,1,7,0,0
"Saudi Arabia","SA",2023,1864,55,563,46,4,6,55,,2482,2538,111,2593,1848,47,16,1191,1,221,10,,,20,,,,261,543,396,258,164,173,1795,0,13,,,27,,,,125,211,153,69,41,74,673,0,70,60,1877,,,,2528,2528,32,32,0,0,0,0,0,,0,,0,,1,32,0,,32,1699,42,14,18,,,1699,42,20,8,14,18,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2353,55,55,,,,,55,23,1437,,,,,,,0,,,,,,,,,1,129,129,88
"Senegal","SN",2023,12574,1063,2219,812,0,0,536,,15856,16668,1348,17204,12574,1338,0,0,1,221,63,,,415,,,,2605,3594,2099,1263,819,647,11027,0,44,,,272,,,,1532,1288,801,518,384,324,4847,0,794,62,,6887,1063,923,17091,17091,111,103,0,2,2,2,0,,3,,3,,1,8,1,95,0,5789,951,60,51,,,21,19,11,9,21,19,11,9,38,2,0,0,0,0,0,0,0,0,2,0,0,0,15721,614,613,,,,,614,258,5148,1998,35157,1170,5148,2151,2429,0,,,,,,,,,0,,,
"Serbia","RS",2023,504,296,161,39,9,5,46,3,961,1014,99,1060,504,48,0,30,1,220,6,1,4,13,,6,8,30,72,73,90,131,156,566,0,7,2,5,10,,11,9,32,52,48,53,75,120,400,0,48,62,245,17,0,1,472,472,3,3,0,0,0,0,0,,0,,0,,0,,1,3,0,90,7,3,0,,,3,4,3,4,3,0,3,0,0,0,,,,,,,,,,,,1,53,0,0,,,,,0,0,163,,,,,,,0,,,,,,,,,1,109203,5169,24
"Seychelles","SC",2023,21,0,2,0,0,0,0,,23,23,0,23,21,0,0,3,1,222,,,,,0,,,0,5,10,4,2,1,22,0,,,,,0,,,0,0,0,0,0,1,1,0,0,62,,21,0,2,23,23,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,21,0,0,0,,,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,5,5,,,,,5,1,73,4,107,1,73,7,11,0,,,,,,,,,0,,,
"Sierra Leone","SL",2023,14510,5762,1232,333,100,12,128,,21504,21949,573,22077,14509,417,1,0,1,221,482,,,353,,,,1869,3201,2891,2288,1230,865,12344,123,484,,,361,,,,1432,2046,1789,1226,751,489,7733,61,1680,60,14318,,,,21885,21885,192,184,0,4,4,4,0,,0,,1,89,1,71,1,24,184,6165,,192,,,,,,,,,,,,24,4,,,,,,,1,3,,,,1,21439,2868,2866,,,,,,11888,16860,9455,69629,9372,15076,,,0,,,,,,,,,0,,,
